calls;date;feature;input_tokens;model;output_tokens
29;2026-03-17;SUMMARY;193638;gpt-4o;24659
21;2026-03-17;FLASHCARDS;43361;gpt-4o;17092
20;2026-03-17;QUIZ;39361;gpt-4o;16974
6;2026-03-17;KNOWLEDGE_PACK;21174;gpt-4o;1935
3;2026-03-17;COURSE_BLUEPRINT;1684;gpt-4o;1389
2;2026-03-17;STUDY_PLAN;1366;gpt-4o;1445
41;2026-03-16;SUMMARY;316539;gpt-4o;41052
38;2026-03-16;FLASHCARDS;81608;gpt-4o;28930
38;2026-03-16;QUIZ;81182;gpt-4o;27700
13;2026-03-16;STUDY_PLAN;11837;gpt-4o;17609
7;2026-03-16;COURSE_BLUEPRINT;6551;gpt-4o;7777
7;2026-03-16;KNOWLEDGE_PACK;37394;gpt-4o;5058
24;2026-03-15;SUMMARY;105906;gpt-4o;24567
20;2026-03-15;FLASHCARDS;43882;gpt-4o;15749
19;2026-03-15;QUIZ;41851;gpt-4o;16136
1;2026-03-15;KNOWLEDGE_PACK;1902;gpt-4o;622
1;2026-03-15;STUDY_PLAN;814;gpt-4o;970
1;2026-03-15;COURSE_BLUEPRINT;922;gpt-4o;786
130;2026-03-14;SUMMARY;791430;gpt-4o;112576
114;2026-03-14;QUIZ;108719;gpt-4o;53184
113;2026-03-14;FLASHCARDS;119300;gpt-4o;53400
7;2026-03-14;STUDY_PLAN;5266;gpt-4o;6159
6;2026-03-14;KNOWLEDGE_PACK;22774;gpt-4o;4429
6;2026-03-14;COURSE_BLUEPRINT;6077;gpt-4o;4929
18;2026-03-13;SUMMARY;143389;gpt-4o;13944
16;2026-03-13;FLASHCARDS;29100;gpt-4o;12983
16;2026-03-13;QUIZ;28908;gpt-4o;14187
169;2026-03-12;SUMMARY;1153885;gpt-4o;70420
99;2026-03-12;FLASHCARDS;59793;gpt-4o;31479
99;2026-03-12;QUIZ;66073;gpt-4o;35455
21;2026-03-12;KNOWLEDGE_PACK;34144;gpt-4o;5949
17;2026-03-12;STUDY_PLAN;9347;gpt-4o;13326
8;2026-03-12;COURSE_BLUEPRINT;7926;gpt-4o;7902
33;2026-03-11;SUMMARY;240171;gpt-4o;18644
24;2026-03-11;QUIZ;10747;gpt-4o;7256
24;2026-03-11;FLASHCARDS;10855;gpt-4o;6889
18;2026-03-11;STUDY_PLAN;14341;gpt-4o;17906
14;2026-03-11;KNOWLEDGE_PACK;32206;gpt-4o;7377
12;2026-03-11;COURSE_BLUEPRINT;10777;gpt-4o;10327
50;2026-03-10;SUMMARY;265788;gpt-4o;14507
17;2026-03-10;QUIZ;23586;gpt-4o;11869
16;2026-03-10;FLASHCARDS;21981;gpt-4o;10528
7;2026-03-10;COURSE_BLUEPRINT;6947;gpt-4o;6084
7;2026-03-10;KNOWLEDGE_PACK;67146;gpt-4o;4940
6;2026-03-10;STUDY_PLAN;4763;gpt-4o;5707
9;2026-03-09;SUMMARY;101026;gpt-4o;6708
7;2026-03-09;QUIZ;11795;gpt-4o;5474
7;2026-03-09;FLASHCARDS;11705;gpt-4o;5620
2;2026-03-09;COURSE_BLUEPRINT;1663;gpt-4o;988
2;2026-03-09;STUDY_PLAN;1187;gpt-4o;1118
2;2026-03-09;KNOWLEDGE_PACK;11200;gpt-4o;973
2;2026-03-08;FLASHCARDS;1846;gpt-4o;1696
2;2026-03-08;SUMMARY;2738;gpt-4o;516
1;2026-03-08;QUIZ;911;gpt-4o;784
6;2026-03-07;SUMMARY;36354;gpt-4o;2342
3;2026-03-07;FLASHCARDS;5331;gpt-4o;2390
3;2026-03-07;QUIZ;5295;gpt-4o;2246
22;2026-03-05;SUMMARY;55965;gpt-4o;8321
15;2026-03-05;QUIZ;14982;gpt-4o;11726
15;2026-03-05;FLASHCARDS;15150;gpt-4o;11051
6;2026-03-05;STUDY_PLAN;4321;gpt-4o;4859
4;2026-03-05;COURSE_BLUEPRINT;3434;gpt-4o;2740
4;2026-03-05;KNOWLEDGE_PACK;8226;gpt-4o;2180
1;2026-03-04;KNOWLEDGE_PACK;1159;gpt-4o;505
1;2026-03-04;COURSE_BLUEPRINT;831;gpt-4o;615
1;2026-03-03;FLASHCARDS;1763;gpt-4o;897
6;2026-03-02;SUMMARY;41984;gpt-4o;4525
6;2026-03-02;FLASHCARDS;9844;gpt-4o;4859
2;2026-03-02;STUDY_PLAN;1422;gpt-4o;1459
1;2026-03-02;QUIZ;1669;gpt-4o;871
1;2026-03-02;COURSE_BLUEPRINT;946;gpt-4o;809
1;2026-03-02;KNOWLEDGE_PACK;3030;gpt-4o;637
12;2026-03-01;SUMMARY;99386;gpt-4o;6319
7;2026-03-01;KNOWLEDGE_PACK;11931;gpt-4o;1503
6;2026-03-01;FLASHCARDS;10508;gpt-4o;4846
6;2026-03-01;STUDY_PLAN;3449;gpt-4o;2716
6;2026-03-01;QUIZ;10436;gpt-4o;4968
4;2026-03-01;COURSE_BLUEPRINT;2971;gpt-4o;1843
2;2026-02-28;KNOWLEDGE_PACK;15410;gpt-4o;1721
1;2026-02-28;COURSE_BLUEPRINT;1133;gpt-4o;1259
48;2026-02-27;SUMMARY;436211;gpt-4o;23001
29;2026-02-27;FLASHCARDS;37845;gpt-4o;20065
29;2026-02-27;QUIZ;37545;gpt-4o;20954
16;2026-02-27;STUDY_PLAN;15145;gpt-4o;21748
4;2026-02-27;COURSE_BLUEPRINT;4330;gpt-4o;4633
4;2026-02-27;KNOWLEDGE_PACK;21241;gpt-4o;3461
23;2026-02-26;SUMMARY;256176;gpt-4o;14288
16;2026-02-26;QUIZ;24260;gpt-4o;13208
15;2026-02-26;FLASHCARDS;23205;gpt-4o;12176
9;2026-02-26;STUDY_PLAN;6178;gpt-4o;6421
1;2026-02-26;KNOWLEDGE_PACK;2305;gpt-4o;597
1;2026-02-26;COURSE_BLUEPRINT;894;gpt-4o;748
9;2026-02-25;SUMMARY;87681;gpt-4o;5140
7;2026-02-25;QUIZ;10525;gpt-4o;5843
7;2026-02-25;FLASHCARDS;10609;gpt-4o;5517
5;2026-02-25;STUDY_PLAN;3980;gpt-4o;4823
3;2026-02-25;COURSE_BLUEPRINT;2778;gpt-4o;2799
3;2026-02-25;KNOWLEDGE_PACK;11185;gpt-4o;1953
15;2026-02-24;SUMMARY;8782;gpt-4o;3758
10;2026-02-24;KNOWLEDGE_PACK;4691;gpt-4o;2060
8;2026-02-24;STUDY_PLAN;4230;gpt-4o;2888
6;2026-02-24;QUIZ;7084;gpt-4o;4966
6;2026-02-24;FLASHCARDS;7156;gpt-4o;4390
5;2026-02-24;COURSE_BLUEPRINT;3757;gpt-4o;2516
10;2026-02-23;STUDY_PLAN;6651;gpt-4o;6734
7;2026-02-23;SUMMARY;18877;gpt-4o;4581
5;2026-02-23;FLASHCARDS;7574;gpt-4o;3653
3;2026-02-23;QUIZ;4607;gpt-4o;2651
2;2026-02-23;KNOWLEDGE_PACK;2262;gpt-4o;1028
2;2026-02-23;COURSE_BLUEPRINT;1665;gpt-4o;1253
3;2026-02-22;STUDY_PLAN;2122;gpt-4o;2256
1;2026-02-22;COURSE_BLUEPRINT;854;gpt-4o;620
1;2026-02-22;QUIZ;1643;gpt-4o;799
1;2026-02-22;KNOWLEDGE_PACK;2038;gpt-4o;530
4;2026-02-21;SUMMARY;15841;gpt-4o;2778
4;2026-02-21;STUDY_PLAN;3162;gpt-4o;4006
3;2026-02-21;FLASHCARDS;4234;gpt-4o;2144
2;2026-02-21;QUIZ;3036;gpt-4o;1647
1;2026-02-21;KNOWLEDGE_PACK;2218;gpt-4o;744
1;2026-02-21;COURSE_BLUEPRINT;995;gpt-4o;843
2;2026-02-20;STUDY_PLAN;1460;gpt-4o;1660
2;2026-02-20;SUMMARY;23094;gpt-4o;1612
1;2026-02-20;QUIZ;1737;gpt-4o;813
1;2026-02-20;FLASHCARDS;1660;gpt-4o;813
19;2026-02-19;STUDY_PLAN;14720;gpt-4o;19469
9;2026-02-19;SUMMARY;104764;gpt-4o;7030
8;2026-02-19;QUIZ;38231;gpt-4o;7067
8;2026-02-19;KNOWLEDGE_PACK;38067;gpt-4o;2132
5;2026-02-19;FLASHCARDS;20386;gpt-4o;3917
3;2026-02-19;COURSE_BLUEPRINT;2979;gpt-4o;2603
6;2026-02-18;STUDY_PLAN;3319;gpt-4o;3147
3;2026-02-18;SUMMARY;5650;gpt-4o;1491
1;2026-02-18;QUIZ;1173;gpt-4o;752
1;2026-02-18;FLASHCARDS;974;gpt-4o;754
1;2026-02-18;KNOWLEDGE_PACK;931;gpt-4o;388
1;2026-02-18;COURSE_BLUEPRINT;764;gpt-4o;467
25;2026-02-17;SUMMARY;100174;gpt-4o;12999
8;2026-02-17;QUIZ;27889;gpt-4o;5965
6;2026-02-17;STUDY_PLAN;4941;gpt-4o;8238
6;2026-02-17;KNOWLEDGE_PACK;37781;gpt-4o;2947
6;2026-02-17;COURSE_BLUEPRINT;4986;gpt-4o;4034
4;2026-02-17;FLASHCARDS;17826;gpt-4o;3074
2;2026-02-16;KNOWLEDGE_PACK;11250;gpt-4o;1269
2;2026-02-16;COURSE_BLUEPRINT;1903;gpt-4o;1649
2;2026-02-15;SUMMARY;8503;gpt-4o;774
1;2026-02-15;KNOWLEDGE_PACK;4218;gpt-4o;698
1;2026-02-15;COURSE_BLUEPRINT;993;gpt-4o;975
